sentence;labels
chocolate cookies are the best!; 2
you need flour, sugar, and chocolate chips to make chocolate cookies;0
you need 3 things to make Chocolate cookies; 1
john doe, a boy loves chocolate cookies; 3
after coming to school, john doe eats chocolate cookies;4
toronto is one of the best cities ever;2
willem dafoe was the worst actor in history;2
there are 5 reasons why apples are better than pears;1
machine learning is very difficult to learn!;2
making chicken soup requires, chicken, seasoning, and some veggies;0
vegetables are the best kind of food;2
tom hardy, an athelete, is very strong; 3
chocolate cookies are not tasty;2
creating data by hand is inefficient for multiple reasons;1
you should never complete surveys; 2
before i watch a movie, i make some popcorn;4
whenever jane eats spicy food, she drinks some milk after;4
donald trump, a former president, plays golf;3
15 year olds should not be allowed to vote;2
15 year olds can't vote because they are, immature, young, and can't take anything seriously;0
you can ace school by being organized, efficient, and trying your best;0
rick astley, a body builder, makes the best songs ever;3
you should take extra curricular activities for 3 reasons;1
extra curricular activities make you stronger, smarter and collaborate better;0
Popeyes is the best restaurant because, its tasty, fast, and clean.;0
Mcdonalds coffee is best, in blind taste tests, sources, and production;0
mars, a candy manufacturer, makes mars bars;3
